rank,driver_id,acceptance_probability,acceptance_rate,rejection_rate,activity_score,consistency_score,avg_active_hours_per_day,will_accept
1,DRV_0094,1.0,0.6830357142857143,0.3169642857142857,5.218392857142857,0.3660714285714286,7.64,1
2,DRV_0108,1.0,0.8194842406876791,0.18051575931232092,5.441375358166189,0.6389684813753582,6.64,1
3,DRV_0215,1.0,0.6745406824146981,0.32545931758530183,5.753832020997375,0.3490813648293963,8.53,1
4,DRV_0147,1.0,0.8307692307692308,0.16923076923076924,6.1061538461538465,0.6615384615384616,7.35,1
5,DRV_0222,1.0,0.6078431372549019,0.39215686274509803,2.358431372549019,0.21568627450980388,3.88,1
6,DRV_0427,1.0,0.8926940639269406,0.10730593607305935,8.284200913242008,0.7853881278538812,9.28,1
7,DRV_0328,1.0,0.6666666666666666,0.3333333333333333,6.986666666666666,0.3333333333333333,10.48,1
8,DRV_0329,1.0,0.8495575221238938,0.1504424778761062,10.15221238938053,0.6991150442477876,11.95,1
9,DRV_0499,1.0,0.8068669527896996,0.19313304721030042,5.454420600858369,0.6137339055793991,6.76,1
10,DRV_0440,1.0,0.6491228070175439,0.3508771929824561,3.8622807017543863,0.29824561403508776,5.95,1
